assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;47877.68;3.751761659899E8;7.15170645841E7;2.556045032489E8;4.71412536861E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49473.61;3.876820956546E8;7.3900977691E7;2.641246925076E8;4.87126360295E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;47877.68;3.751761659899E8;7.15170645841E7;2.556045032489E8;4.71412536861E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;46680.74;3.657967775124E8;6.9729140957E7;2.492144013451E8;4.59627243132E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;46680.74;3.657967775124E8;6.9729140957E7;2.492144013451E8;4.59627243132E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;47877.68;3.751761659899E8;7.15170645841E7;2.556045032489E8;4.71412536861E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;47877.68;3.751761659899E8;7.15170645841E7;2.556045032489E8;4.71412536861E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;47877.68;3.751761659899E8;7.15170645841E7;2.556045032489E8;4.71412536861E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49473.61;3.876820956546E8;7.3900977691E7;2.641246925076E8;4.87126360295E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49473.61;3.876820956546E8;7.3900977691E7;2.641246925076E8;4.87126360295E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49473.61;3.876820956546E8;7.3900977691E7;2.641246925076E8;4.87126360295E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49473.61;3.876820956546E8;7.3900977691E7;2.641246925076E8;4.87126360295E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49872.59;3.908085584804E8;7.44969522334E7;2.662547264756E8;4.91054791539E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49473.61;3.876820956546E8;7.3900977691E7;2.641246925076E8;4.87126360295E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;49473.61;3.876820956546E8;7.3900977691E7;2.641246925076E8;4.87126360295E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;45882.78;3.595438518608E8;6.85371918722E7;2.449543334092E8;4.51770380646E7;3922512700721;CBEE3;3050
0.0016;3050;1.0E-4;2.0E-4;7.0E-4;0.001;45483.8;3.564173890349E8;6.79412173298E7;2.428242994412E8;4.47841949403E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49872.59;1.0549963742954E9;8.11352235394E7;3.573434184125E8;4.77648861444E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49872.59;1.0549963742954E9;8.11352235394E7;3.573434184125E8;4.77648861444E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49074.63;1.0381164627682E9;7.98370623054E7;3.516259340357E8;4.70006493452E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;48276.67;1.021236551241E9;7.85389010715E7;3.459084496589E8;4.6236412546E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;47877.68;1.0127963839391E9;7.7889804186E7;3.430496358192E8;4.58542845691E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49074.63;1.0381164627682E9;7.98370623054E7;3.516259340357E8;4.70006493452E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;46281.76;9.790365608847E8;7.5293481718E7;3.316146670656E8;4.43258109707E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49473.61;1.0465564185318E9;8.04861429224E7;3.544846762241E8;4.73827677448E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49872.59;1.0549963742954E9;8.11352235394E7;3.573434184125E8;4.77648861444E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49872.59;1.0549963742954E9;8.11352235394E7;3.573434184125E8;4.77648861444E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;47877.68;1.0127963839391E9;7.7889804186E7;3.430496358192E8;4.58542845691E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;47877.68;1.0127963839391E9;7.7889804186E7;3.430496358192E8;4.58542845691E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;47877.68;1.0127963839391E9;7.7889804186E7;3.430496358192E8;4.58542845691E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;47478.7;1.0043564281755E9;7.7240723569E7;3.401908936308E8;4.54721661695E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;48276.67;1.021236551241E9;7.85389010715E7;3.459084496589E8;4.6236412546E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49872.59;1.0549963742954E9;8.11352235394E7;3.573434184125E8;4.77648861444E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;50670.55;1.0718762858226E9;8.24333847734E7;3.630609027894E8;4.85291229435E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;49872.59;1.0549963742954E9;8.11352235394E7;3.573434184125E8;4.77648861444E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;47079.72;9.959164724119E8;7.6591642952E7;3.373321514424E8;4.50900477699E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;46281.76;9.790365608847E8;7.5293481718E7;3.316146670656E8;4.43258109707E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;47478.7;1.0043564281755E9;7.7240723569E7;3.401908936308E8;4.54721661695E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;45882.78;9.705966051211E8;7.46444011011E7;3.287559248772E8;4.39436925711E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;43887.88;9.28396826303E8;7.13989980161E7;3.144622139351E8;4.20331005732E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;43887.88;9.28396826303E8;7.13989980161E7;3.144622139351E8;4.20331005732E7;3922512700721;CBEE3;3050
0.0014;3050;0.0;1.0E-4;6.0E-4;0.001;43488.9;9.199568705394E8;7.07499173992E7;3.116034717467E8;4.16509821736E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;40297.05;1.0363604145462E9;6.50654955463E7;2.936081151257E8;3.85387992513E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;43488.9;1.1184484827589E9;7.02192053578E7;3.168642359152E8;4.15913816709E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;43887.88;1.1287094591379E9;7.0863417066E7;3.197712419063E8;4.19729532779E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;41892.97;1.0774043200624E9;6.76423423789E7;3.0523613909E8;4.00650856793E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;40696.03;1.0466213909253E9;6.57097072545E7;2.965151211167E8;3.89203708583E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;40696.03;1.0466213909253E9;6.57097072545E7;2.965151211167E8;3.89203708583E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;40297.05;1.0363604145462E9;6.50654955463E7;2.936081151257E8;3.85387992513E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;40696.03;1.0466213909253E9;6.57097072545E7;2.965151211167E8;3.89203708583E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;40696.03;1.0466213909253E9;6.57097072545E7;2.965151211167E8;3.89203708583E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;40297.05;1.0363604145462E9;6.50654955463E7;2.936081151257E8;3.85387992513E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;39499.09;1.0158384617881E9;6.37770721301E7;2.877941031435E8;3.77756560374E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;39499.09;1.0158384617881E9;6.37770721301E7;2.877941031435E8;3.77756560374E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;36307.24;9.337503935754E8;5.86233623186E7;2.645379823539E8;3.47230736178E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;35110.3;9.029674644383E8;5.66907271942E7;2.558169643807E8;3.35783587968E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;35509.28;9.132284408173E8;5.73349389023E7;2.587239703718E8;3.39599304038E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;35908.26;9.234894171964E8;5.79791506105E7;2.616309763628E8;3.43415020108E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;35908.26;9.234894171964E8;5.79791506105E7;2.616309763628E8;3.43415020108E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;34312.34;8.824455116802E8;5.54023037779E7;2.500029523985E8;3.28152155829E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;47478.7;1.2210582465495E9;7.66613224391E7;3.45934295826E8;4.54070977408E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;43488.9;1.1184484827589E9;7.02192053578E7;3.168642359152E8;4.15913816709E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;39898.07;1.0260994381672E9;6.44212838382E7;2.907011091346E8;3.81572276444E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;37903.17;9.747945562719E8;6.12002252976E7;2.761660791792E8;3.62493696094E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;36706.23;9.440116271347E8;5.92675901732E7;2.674450612059E8;3.51046547885E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;36307.24;9.337503935754E8;5.86233623186E7;2.645379823539E8;3.47230736178E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;41892.97;1.0774043200624E9;6.76423423789E7;3.0523613909E8;4.00650856793E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;41892.97;1.0774043200624E9;6.76423423789E7;3.0523613909E8;4.00650856793E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;39898.07;1.0260994381672E9;6.44212838382E7;2.907011091346E8;3.81572276444E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;42690.94;1.0979265300008E9;6.89307819416E7;3.110502239331E8;4.08282384569E7;3922512700721;CBEE3;3050
0.0015;3050;0.0;1.0E-4;6.0E-4;0.001;43488.9;1.1184484827589E9;7.02192053578E7;3.168642359152E8;4.15913816709E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;42690.94;8.594967631049E8;6.45756449459E7;3.421696104891E8;3.64902558034E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;39898.07;8.032679069407E8;6.03510628332E7;3.197846444976E8;3.41030387329E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;39898.07;8.032679069407E8;6.03510628332E7;3.197846444976E8;3.41030387329E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;36706.23;7.390065871302E8;5.55229862773E7;2.94201917822E8;3.13748004209E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43488.9;8.755620930575E8;6.57826640849E7;3.48565292158E8;3.71723153814E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43488.9;8.755620930575E8;6.57826640849E7;3.48565292158E8;3.71723153814E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;41892.97;8.434312318222E8;6.33686106806E7;3.357738486698E8;3.58081876779E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43488.9;8.755620930575E8;6.57826640849E7;3.48565292158E8;3.71723153814E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43488.9;8.755620930575E8;6.57826640849E7;3.48565292158E8;3.71723153814E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;37903.17;7.631045820592E8;5.73335149857E7;3.037954403254E8;3.23978897879E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;40696.03;8.193332368933E8;6.15580819722E7;3.261803261665E8;3.47850983109E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;41493.99;8.353985668459E8;6.27651011111E7;3.325760078354E8;3.54671578889E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43488.9;8.755620930575E8;6.57826640849E7;3.48565292158E8;3.71723153814E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43488.9;8.755620930575E8;6.57826640849E7;3.48565292158E8;3.71723153814E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43488.9;8.755620930575E8;6.57826640849E7;3.48565292158E8;3.71723153814E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;42690.94;8.594967631049E8;6.45756449459E7;3.421696104891E8;3.64902558034E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;47877.68;9.639214077968E8;7.24212693493E7;3.83741541337E8;4.09236430604E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;50670.55;1.020150263961E9;7.6645851462E7;4.061265073285E8;4.3310860131E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;49473.61;9.960522690321E8;7.48353227536E7;3.965329848251E8;4.2287770764E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;43887.88;8.835947580338E8;6.63861736544E7;3.517631329925E8;3.75133451704E7;3922512700721;CBEE3;3050
0.0016;3050;0.0;2.0E-4;7.0E-4;0.0012;41493.99;8.353985668459E8;6.27651011111E7;3.325760078354E8;3.54671578889E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;47478.7;2.8330007570009E9;7.13732547243E7;4.963124935407E8;3.77304271559E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;47478.7;2.8330007570009E9;7.13732547243E7;4.963124935407E8;3.77304271559E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;37903.17;2.2616396258266E9;5.69786579512E7;3.962159203137E8;3.01209341171E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;31918.46;1.9045386950844E9;4.79820293308E7;3.336555228467E8;2.53649979877E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;33514.38;1.9997654508319E9;5.03811262875E7;3.503382676289E8;2.66332455031E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;37504.19;2.2378329368897E9;5.6378883712E7;3.920452341181E8;2.98038722382E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39100.11;2.3330596926373E9;5.87779806688E7;4.087279789003E8;3.10721197536E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39898.07;2.3806730705111E9;5.99775291471E7;4.170693512915E8;3.17062435112E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39898.07;2.3806730705111E9;5.99775291471E7;4.170693512915E8;3.17062435112E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39898.07;2.3806730705111E9;5.99775291471E7;4.170693512915E8;3.17062435112E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39898.07;2.3806730705111E9;5.99775291471E7;4.170693512915E8;3.17062435112E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39898.07;2.3806730705111E9;5.99775291471E7;4.170693512915E8;3.17062435112E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39100.11;2.3330596926373E9;5.87779806688E7;4.087279789003E8;3.10721197536E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;39898.07;2.3806730705111E9;5.99775291471E7;4.170693512915E8;3.17062435112E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;43887.88;2.6187405565688E9;6.59752865717E7;4.587763177807E8;3.48768702464E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;43887.88;2.6187405565688E9;6.59752865717E7;4.587763177807E8;3.48768702464E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;43887.88;2.6187405565688E9;6.59752865717E7;4.587763177807E8;3.48768702464E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;41892.97;2.4997065151955E9;6.2976400343E7;4.379227822692E8;3.32915529054E7;3922512700721;CBEE3;3050
0.0017;3050;0.0;2.0E-4;7.0E-4;0.0013;43089.92;2.571127178695E9;6.47757380933E7;4.504349453896E8;3.42427464887E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;41892.97;6.77090108927E8;6.38637497181E7;1.3238194384591E9;3.29052199371E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;43089.92;6.964356699096E8;6.56884404771E7;1.3616431037868E9;3.38453753618E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;43089.92;6.964356699096E8;6.56884404771E7;1.3616431037868E9;3.38453753618E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;41095.01;6.641931760211E8;6.26472993751E7;1.2986038722408E9;3.22784548903E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;39898.07;6.448477766622E8;6.08226238607E7;1.2607805229135E9;3.13383073202E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;39100.11;6.319508437563E8;5.96061735177E7;1.2355649566953E9;3.07115422734E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;36307.24;5.868114169618E8;5.53485820727E7;1.1473101589312E9;2.85178567552E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;36307.24;5.868114169618E8;5.53485820727E7;1.1473101589312E9;2.85178567552E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;36307.24;5.868114169618E8;5.53485820727E7;1.1473101589312E9;2.85178567552E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;43089.92;6.964356699096E8;6.56884404771E7;1.3616431037868E9;3.38453753618E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;31918.46;5.158782859793E8;4.86581051863E7;1.008624544731E9;2.5070648998E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;43089.92;6.964356699096E8;6.56884404771E7;1.3616431037868E9;3.38453753618E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;35908.26;5.803629505088E8;5.47403569012E7;1.1347023758221E9;2.82044742318E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;31918.46;5.158782859793E8;4.86581051863E7;1.008624544731E9;2.5070648998E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;35908.26;5.803629505088E8;5.47403569012E7;1.1347023758221E9;2.82044742318E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;39898.07;6.448477766622E8;6.08226238607E7;1.2607805229135E9;3.13383073202E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;33913.36;5.481206182441E8;5.16992310438E7;1.0716634602765E9;2.66375616149E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;34711.32;5.6101755115E8;5.29156813868E7;1.0968790264947E9;2.72643266616E7;3922512700721;CBEE3;3050
0.0017;3050;1.0E-4;1.0E-4;7.0E-4;0.0013;41493.99;6.70641642474E8;6.32555245466E7;1.31121165535E9;3.25918374137E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;35908.26;6.588793061368E8;5.55800407983E7;6.834521629739E8;2.61405529656E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;37903.17;6.954838343598E8;5.86678311615E7;7.214218544721E8;2.75928107613E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;42690.94;7.833344452093E8;6.60785063636E7;8.125488476018E8;3.10782192794E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;41095.01;7.54050785933E8;6.36082709774E7;7.821730563367E8;2.99164115868E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;42690.94;7.833344452093E8;6.60785063636E7;8.125488476018E8;3.10782192794E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;43089.92;7.906553141559E8;6.66960613406E7;8.201427478349E8;3.13686693825E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;45882.78;8.419013967825E8;7.10189461795E7;8.733000494664E8;3.34018201048E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;50271.57;9.224311386854E8;7.78120664046E7;9.568331423631E8;3.65967785197E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;49872.59;9.151102697387E8;7.71945114276E7;9.4923924213E8;3.63063284165E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;38701.13;7.101255722531E8;5.99029411155E7;7.366096549382E8;2.81737109677E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;45483.8;8.345805278359E8;7.04013912025E7;8.657061492334E8;3.31113700017E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;40696.03;7.467299169863E8;6.29907160004E7;7.745791561036E8;2.96259614836E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;42291.96;7.760135762626E8;6.54609513867E7;8.049549473688E8;3.07877691762E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;43887.88;8.052970520492E8;6.79311712946E7;8.353305483011E8;3.19495695889E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;40297.05;7.394090480397E8;6.23731610234E7;7.669852558705E8;2.93355113804E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;36307.24;6.662001750835E8;5.61975957753E7;6.910460632069E8;2.64310030688E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;41892.97;7.686925238263E8;6.48433809313E7;7.973608568028E8;3.04973117932E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;41095.01;7.54050785933E8;6.36082709774E7;7.821730563367E8;2.99164115868E7;3922512700721;CBEE3;3050
0.0018;3050;1.0E-4;1.0E-4;6.0E-4;0.0014;35509.28;6.515584371902E8;5.49624858213E7;6.758582627408E8;2.58501028624E7;3922512700721;CBEE3;3050
0.002;3050;0.0;0.0;6.0E-4;0.0013;34711.32;-3.8643240494633E9;5.41714451062E7;4.380697844289E8;2.63692911685E7;3922512700721;CBEE3;3050
0.002;3050;0.0;0.0;6.0E-4;0.0013;35509.28;-3.953158931528E9;5.54167635308E7;4.481403367785E8;2.69754807222E7;3922512700721;CBEE3;3050
