assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
7.3904;3204;-0.7236;-1.2303;3.7288;1.5218;1520.0;-2100.5769;407.6352;1800.2108;998.8424;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1294.82;-1422.5019;348.5634;2128.1191;870.5539;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1600.87;-1758.7315;430.9516;2631.1318;1076.3223;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1600.87;-1758.7315;430.9516;2631.1318;1076.3223;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1280.0;-1406.2205;344.5739;2103.7615;860.5899;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1280.0;-1406.2205;344.5739;2103.7615;860.5899;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1280.0;-1406.2205;344.5739;2103.7615;860.5899;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1280.0;-1406.2205;344.5739;2103.7615;860.5899;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1294.82;-1422.5019;348.5634;2128.1191;870.5539;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1294.82;-1422.5019;348.5634;2128.1191;870.5539;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1408.0;-1546.8426;379.0313;2314.1377;946.6488;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1471.39;-1616.4835;396.0958;2418.3232;989.2682;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1232.0;-1353.4873;331.6524;2024.8705;828.3177;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1408.0;-1546.8426;379.0313;2314.1377;946.6488;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1408.0;-1546.8426;379.0313;2314.1377;946.6488;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1471.39;-1616.4835;396.0958;2418.3232;989.2682;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1520.0;-1669.8869;409.1815;2498.2168;1021.9505;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1520.0;-1669.8869;409.1815;2498.2168;1021.9505;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1530.25;-1681.1476;411.9408;2515.0633;1028.8419;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1530.25;-1681.1476;411.9408;2515.0633;1028.8419;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1440.0;-1581.9981;387.6456;2366.7317;968.1636;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1440.0;-1581.9981;387.6456;2366.7317;968.1636;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1753.9;-1926.8517;472.147;2882.6464;1179.2098;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1753.9;-1926.8517;472.147;2882.6464;1179.2098;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1376.0;-1511.6871;370.4169;2261.5436;925.1341;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1471.39;-1616.4835;396.0958;2418.3232;989.2682;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1471.39;-1616.4835;396.0958;2418.3232;989.2682;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1392.0;-1529.2648;374.7241;2287.8407;935.8915;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1392.0;-1529.2648;374.7241;2287.8407;935.8915;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1568.0;-1722.6202;422.103;2577.1079;1054.2226;387187447;EEEL3;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1742.13;-1913.9211;468.9785;2863.3016;1171.2964;387187447;EEEL4;3204
7.3618;3204;-0.9102;-1.3431;3.7147;1.4874;1360.0;-1494.1093;366.1098;2235.2466;914.3767;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1296.0;-1684.8085;339.3049;1107.5562;877.8778;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1520.0;-1976.0099;397.9502;1298.9856;1029.6097;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1753.9;-2280.0815;459.1874;1498.8756;1188.0477;387187447;EEEL4;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1753.9;-2280.0815;459.1874;1498.8756;1188.0477;387187447;EEEL4;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1568.0;-2038.4103;410.517;1340.0062;1062.1237;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1568.0;-2038.4103;410.517;1340.0062;1062.1237;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1568.0;-2038.4103;410.517;1340.0062;1062.1237;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1312.0;-1705.6086;343.4938;1121.2297;888.7158;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1392.0;-1809.6091;364.4386;1189.5974;942.9057;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1296.0;-1684.8085;339.3049;1107.5562;877.8778;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1360.0;-1768.0089;356.0607;1162.2503;921.2298;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1294.82;-1683.2745;338.9959;1106.5477;877.0785;387187447;EEEL4;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1294.82;-1683.2745;338.9959;1106.5477;877.0785;387187447;EEEL4;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1360.0;-1768.0089;356.0607;1162.2503;921.2298;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1200.0;-1560.0078;314.1712;1025.515;812.8498;387187447;EEEL3;3204
7.4531;3204;-0.7692;-1.146;3.8196;1.4763;1360.0;-1768.0089;356.0607;1162.2503;921.2298;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1328.0;-2301.5923;357.625;1131.5167;941.8169;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1328.0;-2301.5923;357.625;1131.5167;941.8169;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1294.82;-2244.0872;348.6897;1103.2458;918.2856;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1294.82;-2244.0872;348.6897;1103.2458;918.2856;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1344.0;-2329.3223;361.9337;1145.1494;953.1641;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1392.0;-2412.5124;374.8599;1186.0476;987.2057;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1753.9;-3039.731;472.3181;1494.4029;1243.8649;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1200.0;-2079.7521;323.1551;1022.4548;851.0394;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;992.0;-1719.2617;267.1415;845.2293;703.5259;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1184.0;-2052.0221;318.8463;1008.8221;839.6922;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;944.0;-1636.0716;254.2153;804.3311;669.4843;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;960.0;-1663.8017;258.5241;817.9638;680.8315;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1647.96;-2856.1235;443.7889;1404.1372;1168.7323;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1104.0;-1913.3719;297.3027;940.6584;782.9562;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1104.0;-1913.3719;297.3027;940.6584;782.9562;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1636.19;-2835.7246;440.6193;1394.1086;1160.3851;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1120.0;-1941.102;301.6114;954.2912;794.3034;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1120.0;-1941.102;301.6114;954.2912;794.3034;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1294.82;-2244.0872;348.6897;1103.2458;918.2856;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1294.82;-2244.0872;348.6897;1103.2458;918.2856;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1120.0;-1941.102;301.6114;954.2912;794.3034;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1120.0;-1941.102;301.6114;954.2912;794.3034;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1047.63;-1815.6756;282.1225;892.6286;742.9786;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1047.63;-1815.6756;282.1225;892.6286;742.9786;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1165.34;-2019.6819;313.8213;992.9229;826.4585;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;960.0;-1663.8017;258.5241;817.9638;680.8315;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;960.0;-1663.8017;258.5241;817.9638;680.8315;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1118.26;-1938.0863;301.1428;952.8086;793.0694;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1118.26;-1938.0863;301.1428;952.8086;793.0694;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1118.26;-1938.0863;301.1428;952.8086;793.0694;387187447;EEEL4;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;960.0;-1663.8017;258.5241;817.9638;680.8315;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;960.0;-1663.8017;258.5241;817.9638;680.8315;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;960.0;-1663.8017;258.5241;817.9638;680.8315;387187447;EEEL3;3204
7.5031;3204;-0.577;-0.8826;3.7134;1.41;1106.49;-1917.6874;297.9732;942.78;784.7221;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1059.4;4828.733;276.7875;773.4185;755.7612;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1120.0;5104.9471;292.6204;817.6598;798.9924;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;928.0;4229.8133;242.4569;677.4895;662.0223;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;928.0;4229.8133;242.4569;677.4895;662.0223;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1106.49;5043.3687;289.0906;807.7967;789.3546;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1106.49;5043.3687;289.0906;807.7967;789.3546;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1072.0;4886.1636;280.0795;782.6172;764.7499;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1072.0;4886.1636;280.0795;782.6172;764.7499;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1094.71;4989.6756;286.0129;799.1967;780.9509;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1094.71;4989.6756;286.0129;799.1967;780.9509;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1000.55;4560.4954;261.4119;730.4549;713.7785;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1000.55;4560.4954;261.4119;730.4549;713.7785;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;832.0;3792.2464;217.3751;607.4044;593.5372;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;832.0;3792.2464;217.3751;607.4044;593.5372;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;848.0;3865.1742;221.5554;619.0852;604.9514;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;800.0;3646.3908;209.0146;584.0427;570.7089;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;800.0;3646.3908;209.0146;584.0427;570.7089;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1059.4;4828.733;276.7875;773.4185;755.7612;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;1059.4;4828.733;276.7875;773.4185;755.7612;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;832.0;3792.2464;217.3751;607.4044;593.5372;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;941.69;4292.2122;246.0336;687.4839;671.7885;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;941.69;4292.2122;246.0336;687.4839;671.7885;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;880.0;4011.0299;229.916;642.447;627.7798;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;880.0;4011.0299;229.916;642.447;627.7798;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;941.69;4292.2122;246.0336;687.4839;671.7885;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;960.0;4375.6689;250.8175;700.8512;684.8506;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;882.83;4023.929;230.6554;644.513;629.7986;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;941.69;4292.2122;246.0336;687.4839;671.7885;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;880.0;4011.0299;229.916;642.447;627.7798;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;880.0;4011.0299;229.916;642.447;627.7798;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;823.98;3755.6913;215.2798;601.5494;587.8159;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;823.98;3755.6913;215.2798;601.5494;587.8159;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;882.83;4023.929;230.6554;644.513;629.7986;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;823.98;3755.6913;215.2798;601.5494;587.8159;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;960.0;4375.6689;250.8175;700.8512;684.8506;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;880.0;4011.0299;229.916;642.447;627.7798;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;848.0;3865.1742;221.5554;619.0852;604.9514;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;882.83;4023.929;230.6554;644.513;629.7986;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;992.0;4521.5246;259.178;724.2129;707.679;387187447;EEEL3;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;823.98;3755.6913;215.2798;601.5494;587.8159;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;882.83;4023.929;230.6554;644.513;629.7986;387187447;EEEL4;3204
7.5385;3204;0.2194;0.0359;3.8275;1.4018;882.83;4023.929;230.6554;644.513;629.7986;387187447;EEEL4;3204
