assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;29.0;-35.3364;3.2241;-136.5869;8.9772;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;29.12;-35.4826;3.2374;-137.1521;9.0144;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;30.68;-37.3835;3.4108;-144.4995;9.4973;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;29.8;-36.3112;3.313;-140.3548;9.2249;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;29.71;-36.2016;3.303;-139.9309;9.197;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;27.6;-33.6305;3.0684;-129.9931;8.5438;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;27.97;-34.0814;3.1096;-131.7357;8.6584;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;27.62;-33.6549;3.0706;-130.0873;8.55;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;27.6;-33.6305;3.0684;-129.9931;8.5438;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;29.35;-35.7629;3.263;-138.2354;9.0856;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;31.22;-38.0415;3.4709;-147.0429;9.6644;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;32.36;-39.4306;3.5976;-152.4121;10.0173;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;31.41;-38.273;3.492;-147.9377;9.7233;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;30.39;-37.0301;3.3786;-143.1337;9.4075;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;30.11;-36.689;3.3475;-141.8149;9.3208;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;30.44;-37.0911;3.3842;-143.3692;9.423;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;30.57;-37.2495;3.3986;-143.9814;9.4632;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;29.7;-36.1894;3.3019;-139.8838;9.1939;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;29.5;-35.9457;3.2797;-138.9419;9.132;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;31.67;-38.5898;3.5209;-149.1623;9.8037;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;32.3;-39.3575;3.5909;-152.1296;9.9988;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;30.3;-36.9205;3.3686;-142.7098;9.3797;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;30.84;-37.5785;3.4286;-145.2531;9.5468;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;31.48;-38.3583;3.4998;-148.2674;9.7449;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;31.27;-38.1024;3.4764;-147.2784;9.6799;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;31.77;-38.7117;3.532;-149.6333;9.8347;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;32.07;-39.0772;3.5654;-151.0463;9.9276;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;33.48;-40.7953;3.7221;-157.6872;10.3641;202600771;RRRP3;25291
9.0748;25291;-0.8207;-0.7155;8.9949;0.0;33.55;-40.8806;3.7299;-158.0169;10.3857;202600771;RRRP3;25291
20.687;25291;-0.0045;-0.2669;20.2758;0.0;34.15;-7645.1009;1.6843;-113.5405;9.5065;202600771;RRRP3;25291
20.687;25291;-0.0045;-0.2669;20.2758;0.0;34.48;-7718.9774;1.7006;-114.6377;9.5984;202600771;RRRP3;25291
20.687;25291;-0.0045;-0.2669;20.2758;0.0;32.01;-7166.0229;1.5787;-106.4255;8.9108;202600771;RRRP3;25291
20.687;25291;-0.0045;-0.2669;20.2758;0.0;31.81;-7121.2492;1.5689;-105.7605;8.8551;202600771;RRRP3;25291
20.687;25291;-0.0045;-0.2669;20.2758;0.0;34.0;-7611.5207;1.6769;-113.0418;9.4647;202600771;RRRP3;25291
20.687;25291;-0.0045;-0.2669;20.2758;0.0;34.51;-7725.6935;1.702;-114.7374;9.6067;202600771;RRRP3;25291
20.687;25291;-0.0045;-0.2669;20.2758;0.0;36.3;-8126.4177;1.7903;-120.6887;10.105;202600771;RRRP3;25291
